album	artist	release_year	time	track
Homebrew	Neneh Cherry		2016-12-01 20:34:00	Buddy X
Cure For Pain	Morphine		2016-12-01 20:37:00	Buena
RAW LIKE SUSHI	Neneh Cherry		2016-12-01 20:46:00	Buffalo Stance
The British Invasion: The History Of British Rock Volume 6	The Foundations		2016-12-01 20:53:00	Build Me Up Buttercup
Surfacing	Sarah McLachlan		2016-12-01 20:56:00	Building A Mystery
The Clarence Greenwood Recordings	Citizen Cope		2016-12-01 21:00:00	Bullet And A Target
The Joshua Tree	U2		2016-12-01 21:04:00	Bullet The Blue Sky
Warchild	Jethro Tull		2016-12-01 21:11:00	Bungle In The Jungle
Tumbleweed Connection	Elton John		2016-12-01 21:14:00	Burn Down The Mission
A Moon Shaped Pool	Radiohead		2016-12-01 21:20:00	Burn The Witch
Buffalo Springfield	Buffalo Springfield		2016-12-01 21:24:00	Burned
Speaking In Tongues	Talking Heads		2016-12-01 21:29:00	Burning Down The House
The Essential Elvis Presley	Elvis Presley		2016-12-01 21:33:00	Burning Love
Rock N Roll	Ryan Adams		2016-12-01 21:35:00	Burning Photographs
The Hollies 30th Anniversary Collection	The Hollies		2016-12-01 21:41:00	Bus Stop
Flight of the Conchords	Flight Of The Conchords		2016-12-01 21:44:00	Business Time
Anthology (cd-11	Ray Charles		2016-12-01 21:48:00	Busted
11:11	Rodrigo Y Gabriela		2016-12-01 21:52:00	Buster Voodoo
Haughty Melodic	Mike Doughty		2016-12-01 21:55:00	Busting Up A Starbucks
Blues Traveler	Blues Traveler		2016-12-01 22:00:00	But Anyway
Soul Shots - A Collection Of Sixties Soul Classics	J. J. Jackson		2016-12-01 22:04:00	But It's Alright
By The Time I Get To Phoenix	Glen Campbell		2016-12-01 22:10:00	By The Time I Get To Phoenix
The Cars	The Cars		2016-12-01 22:12:00	Bye Bye Love
The Everly Brothers	The Everly Brothers		2016-12-01 22:17:00	Bye Bye Love
An 1	Plastic Bertrand		2016-12-01 22:19:00	Ca Plane Pour Moi
For Me It's You	Train		2016-12-01 22:22:00	Cab
The River	Bruce Springsteen		2016-12-01 22:25:00	Cadillac Ranch
The Best Of Bb King	B. B. King		2016-12-01 22:33:00	Caldonia
Bon Iver, Bon Iver	Bon Iver		2016-12-01 22:36:00	Calgary
Delta Spirit	Delta Spirit		2016-12-01 22:42:00	California
Room To Move 1969-1974	John Mayall		2016-12-01 22:46:00	California
Blue	Joni Mitchell		2016-12-01 22:56:00	California
Bewitched	Luna		2016-12-01 23:00:00	California (All The Way)
Summer Days (And Summer Nights!!)	The Beach Boys		2016-12-01 23:10:00	California Girls
Heaven Tonight	Cheap Trick		2016-12-01 23:13:00	California Man
Californication	Red Hot Chili Peppers		2016-12-01 23:20:00	Californication
Naturally	J. J. Cale		2016-12-01 23:29:00	Call Me the Breeze
Second Helping	Lynyrd Skynyrd		2016-12-01 23:32:00	Call Me the Breeze
His Band And The Street Choir	Van Morrison		2016-12-01 23:37:00	Call Me Up In Dreamland
Side Pony	Lake Street Dive		2016-12-01 23:41:00	Call Off Your Dogs
When I Was A Boy	Jane Siberry		2016-12-01 23:46:00	Calling All Angels
My Private Nation	Train		2016-12-01 23:51:00	Calling All Angels
Come Back as Rain	Good Old War		2016-12-01 23:56:00	Calling Me Names
